staff_responsiveness,scheduling_satisfaction,Wait_time
Poor,satisfied,short_wait_time
Good,neutral,long_wait_time
Poor,dissatisfied,long_wait_time
Poor,satisfied,long_wait_time
Poor,dissatisfied,long_wait_time
Poor,neutral,long_wait_time
Poor,dissatisfied,long_wait_time
Poor,satisfied,long_wait_time
Good,neutral,long_wait_time
Poor,neutral,long_wait_time
Good,dissatisfied,long_wait_time
Good,neutral,long_wait_time
Poor,neutral,long_wait_time
Poor,dissatisfied,long_wait_time
Poor,neutral,long_wait_time
Good,neutral,long_wait_time
Good,neutral,long_wait_time
Good,satisfied,long_wait_time
Poor,dissatisfied,long_wait_time
Good,neutral,short_wait_time
Poor,satisfied,long_wait_time
Good,satisfied,short_wait_time
Good,neutral,long_wait_time
Poor,dissatisfied,long_wait_time
Poor,dissatisfied,long_wait_time
Good,neutral,long_wait_time
Poor,neutral,long_wait_time
Poor,Unknonwn,long_wait_time
Poor,satisfied,long_wait_time
Poor,neutral,long_wait_time
Poor,dissatisfied,long_wait_time
Good,neutral,long_wait_time
Good,neutral,short_wait_time
Good,dissatisfied,long_wait_time
Poor,dissatisfied,long_wait_time
Poor,dissatisfied,long_wait_time
Poor,dissatisfied,long_wait_time
Poor,satisfied,long_wait_time
Good,satisfied,long_wait_time
Poor,dissatisfied,long_wait_time
Good,neutral,long_wait_time
Good,satisfied,short_wait_time
Poor,dissatisfied,long_wait_time
Poor,neutral,long_wait_time
Poor,dissatisfied,long_wait_time
Good,satisfied,long_wait_time
Good,neutral,long_wait_time
Good,neutral,long_wait_time
